report,Y00_09,Y10_19,Y20_29,Y30_39,Y40_49,Y50_59,Y60_69,Y70_79,Y80_89,YGE90,NSP,TOTAL
2020-03-12,0,0,0,1,1,14,65,274,355,75,18,803
2020-03-30,0,0,2,20,89,369,1162,3456,3984,939,5,10026
2020-04-02,0,0,6,29,110,479,1448,4196,5029,1251,2,12550
2020-04-06,1,0,7,34,136,567,1724,4909,5956,1525,1,14860
2020-04-09,1,0,7,36,153,638,1957,5366,6711,1784,1,16654
2020-04-16,1,0,7,40,178,756,2284,6203,8070,2455,2,19996
2020-04-23,2,0,7,48,203,861,2576,6882,9396,3213,0,23188
2020-04-28,2,0,8,49,224,981,2727,7291,10241,3755,0,25215
2020-05-07,3,0,9,54,246,993,2976,7849,11395,4430,0,27955
2020-05-14,3,0,12,59,258,1063,3127,8221,12104,4844,1,29692
2020-05-20,4,0,14,61,268,1101,3219,8447,12691,5212,0,31017
2020-05-26,4,0,12,62,273,1109,3259,8562,12980,5415,0,31676
2020-06-03,5,0,15,63,279,1133,3307,8677,13233,5641,1,32354
2020-06-09,4,0,15,64,282,1143,3342,8760,13427,5788,0,32825
2020-06-16,4,0,15,65,286,1159,3367,8830,13588,5895,0,33209
2020-06-23,4,0,16,66,292,1170,3397,8879,13718,6000,0,33542
2020-06-30,4,0,16,66,296,1174,3411,8909,13792,6068,0,33736
2020-07-07,4,0,16,66,298,1176,3423,8951,13880,6136,1,33951
2020-07-14,4,0,16,66,300,1187,3431,8967,13926,6169,0,34066
2020-07-21,4,0,16,66,303,1185,3433,8988,13941,6190,0,34126
2020-07-28,4,0,16,66,303,1188,3440,8999,13980,6215,0,34211
2020-08-04,4,0,16,67,306,1190,3448,9017,14030,6242,0,34320
2020-08-11,4,0,16,67,313,1233,3582,9285,14609,6535,0,35644
2020-08-18,4,0,16,67,313,1241,3592,9335,14687,3555,0,35843
2020-08-25,4,0,16,68,312,1245,3594,9352,14720,6601,0,35912
2020-09-01,4,0,16,68,314,1246,3597,9360,14736,6616,0,35957
2020-09-08,4,0,15,68,312,1242,3572,9299,14557,6499,1,35569
2020-09-15,4,0,15,68,313,1245,3575,9321,14586,6513,1,35641
2020-09-22,4,0,15,69,314,1248,3588,9339,14617,6532,1,35727
2020-09-29,4,0,15,70,318,1255,3599,9372,14686,6580,1,35900
2020-10-06,4,0,15,70,319,1263,3613,9409,14736,6621,1,36051
2020-10-13,4,0,15,70,320,1270,3629,9454,14808,6662,1,36233
2020-10-20,4,0,15,71,321,1288,3671,9532,14993,6745,1,36641
2020-10-27,4,0,14,74,326,1314,3739,9666,15338,6928,3,37406
2020-11-07,4,0,13,81,350,1388,3981,10323,16533,7535,4,40212
2020-11-11,4,1,13,85,363,1441,4131,10703,17153,7836,7,41737
2020-11-18,6,2,15,90,410,1588,4487,11632,18734,8584,9,45557
2020-11-25,7,3,21,100,450,1732,4956,12760,20509,9388,5,49931
2020-12-02,7,5,26,118,493,1893,5452,14142,23092,10587,9,55824
2020-12-09,7,6,31,128,517,2019,5795,14997,24500,11387,6,59393
2020-12-16,7,7,31,138,545,2145,6190,15862,26199,12356,7,63487
2020-12-22,7,9,35,146,580,2272,6548,16798,27857,13285,3,67540
2020-12-29,9,10,35,150,602,2376,6818,17493,29224,14080,2,70799
2021-01-05,10,11,37,153,626,2490,7169,18439,31063,15047,3,75048
2021-01-13,8,9,41,157,656,2611,7492,19275,32549,15793,6,78597
2021-01-20,8,10,44,165,688,2698,7807,20103,34162,16636,3,82324
2021-01-27,9,9,45,171,707,2774,8056,20795,35508,17344,0,85418
2021-02-03,9,9,45,174,726,2857,8307,21398,36642,17997,1,88165
2021-02-10,9,9,46,176,742,2932,8537,22003,37717,18582,4,90757
2021-02-17,10,10,49,178,761,3006,8769,22526,38701,19063,1,93074
2021-02-24,10,11,49,183,786,3069,8958,22992,39444,19436,1,94939
2021-03-03,10,11,51,183,810,3139,9163,23524,40285,19801,0,96977
